HAB_ID,HAB_NAME,STATE_ID,STATE_NAME,DISTRICT_I,DISTRICT_N,BLOCK_ID,BLOCK_NAME,POPULATION,HOUSEHOLDS,ROAD_CONN,PROG_COVRD,confidence,lat,lon
18080001,Longmisa,18,Assam,1808,Dima Hasao,180803,Umrangso,312,59,False,False,0.861,25.117719,92.614093
18080002,Umrangso Basti,18,Assam,1808,Dima Hasao,180803,Umrangso,187,38,True,True,0.307,25.081648,92.730403
18080003,Khonoma Tola,18,Assam,1808,Dima Hasao,180801,Haflong,243,48,False,False,0.673,25.213995,92.682903
18080004,Rengpang,18,Assam,1808,Dima Hasao,180802,Maibang,156,30,True,True,0.326,25.183018,92.832238
18080005,Haflong Fringe,18,Assam,1808,Dima Hasao,180801,Haflong,421,87,True,True,0.633,25.333768,92.791143
18080006,Maibang Hamlet,18,Assam,1808,Dima Hasao,180802,Maibang,134,23,False,False,0.568,25.270987,92.912269
18080007,Jiribam Road,18,Assam,1808,Dima Hasao,180802,Maibang,89,18,True,True,0.159,25.41333,92.952792
18080008,Borlangfer,18,Assam,1808,Dima Hasao,180804,Langting,201,42,False,False,0.69,25.442144,92.621892
18080009,Langting Tola,18,Assam,1808,Dima Hasao,180804,Langting,167,32,True,True,0.401,25.391116,92.758126
18080010,Nambornodi,18,Assam,1808,Dima Hasao,180804,Langting,95,22,False,False,0.564,25.45178,92.868843
18080011,Diyungmukh,18,Assam,1808,Dima Hasao,180801,Haflong,278,54,True,True,0.37,25.301969,92.701346
18080012,Silonijan,18,Assam,1808,Dima Hasao,180802,Maibang,143,26,True,True,0.273,25.321201,92.843199
