id,HAB_ID,HAB_NAME,BLOCK_ID,ROAD_CONN,confidence,lat,lon
PT-001,18080001,Longmisa,180803,False,0.885,25.117653,92.614406
PT-002,18080001,Longmisa,180803,False,0.845,25.117551,92.614373
PT-003,18080001,Longmisa,180803,False,0.816,25.118306,92.613352
PT-004,18080001,Longmisa,180803,False,0.864,25.11609,92.61397
PT-005,18080001,Longmisa,180803,False,0.882,25.116982,92.615031
PT-006,18080001,Longmisa,180803,False,0.87,25.117531,92.613145
PT-007,18080001,Longmisa,180803,False,0.881,25.117735,92.61451
PT-008,18080001,Longmisa,180803,False,0.84,25.118185,92.613997
PT-009,18080001,Longmisa,180803,False,0.858,25.119344,92.613321
PT-010,18080001,Longmisa,180803,False,0.849,25.117285,92.614783
PT-011,18080001,Longmisa,180803,False,0.845,25.119353,92.611827
PT-012,18080001,Longmisa,180803,False,0.876,25.118718,92.613327
PT-013,18080001,Longmisa,180803,False,0.878,25.118799,92.613118
PT-014,18080001,Longmisa,180803,False,0.773,25.119931,92.612952
PT-015,18080001,Longmisa,180803,False,0.922,25.117495,92.613908
PT-016,18080001,Longmisa,180803,False,0.908,25.117779,92.613397
PT-017,18080001,Longmisa,180803,False,0.818,25.116636,92.615129
PT-018,18080001,Longmisa,180803,False,0.834,25.118848,92.612977
PT-019,18080001,Longmisa,180803,False,0.913,25.119391,92.612424
PT-020,18080001,Longmisa,180803,False,0.818,25.113944,92.616535
PT-021,18080001,Longmisa,180803,False,0.889,25.118616,92.613149
PT-022,18080001,Longmisa,180803,False,0.836,25.1173,92.614011
PT-023,18080001,Longmisa,180803,False,0.829,25.118348,92.614973
PT-024,18080001,Longmisa,180803,False,0.803,25.119185,92.612553
PT-025,18080001,Longmisa,180803,False,0.839,25.116477,92.61442
PT-026,18080001,Longmisa,180803,False,0.808,25.117552,92.613779
PT-027,18080001,Longmisa,180803,False,0.834,25.119382,92.613344
PT-028,18080001,Longmisa,180803,False,0.895,25.117653,92.615021
PT-029,18080001,Longmisa,180803,False,0.793,25.117445,92.61525
PT-030,18080001,Longmisa,180803,False,0.888,25.116053,92.616288
PT-031,18080001,Longmisa,180803,False,0.841,25.118833,92.612819
PT-032,18080001,Longmisa,180803,False,0.882,25.118021,92.614307
PT-033,18080001,Longmisa,180803,False,0.79,25.120144,92.612311
PT-034,18080001,Longmisa,180803,False,0.834,25.118377,92.614131
PT-035,18080001,Longmisa,180803,False,0.844,25.118532,92.614409
